Feature,Coefficient,Absolute_Coefficient
numerical__Total_Cycle_Time,-10.047415893661356,10.047415893661356
numerical__Efficiency_Score,2.876391439144402,2.876391439144402
numerical__Cooling_Time,2.666301073727807,2.666301073727807
numerical__Injection_Temperature,2.2960378156284986,2.2960378156284986
numerical__Machine_Age,-2.2017670050158467,2.2017670050158467
categorical__Machine_Type_Type_A,2.115237723541765,2.115237723541765
categorical__Shift_Night,-2.0622304276519405,2.0622304276519405
categorical__Shift_Day,1.9027659170761122,1.9027659170761122
categorical__Machine_Type_Type_C,-1.8065738510937637,1.8065738510937637
categorical__Material_Grade_Economy,-1.5865620551116768,1.5865620551116768
categorical__Material_Grade_Premium,1.5234624744177323,1.5234624744177323
numerical__Injection_Pressure,1.1848041619133742,1.1848041619133742
categorical__Day_of_Week_Wednesday,1.0687396788791994,1.0687396788791994
numerical__Operator_Experience,1.0180515646446702,1.0180515646446702
numerical__Material_Viscosity,-0.9422864439576588,0.9422864439576588
numerical__Temperature_Pressure_Ratio,-0.9151424925924279,0.9151424925924279
categorical__Day_of_Week_Friday,-0.6866922863011891,0.6866922863011891
numerical__Cycle_Time,-0.5764018759165991,0.5764018759165991
categorical__Day_of_Week_Sunday,-0.5369749091464753,0.5369749091464753
numerical__Machine_Utilization,-0.4026161066048613,0.4026161066048613
categorical__Machine_Type_Type_B,-0.30866387244784477,0.30866387244784477
categorical__Day_of_Week_Thursday,0.2573738374762368,0.2573738374762368
categorical__Shift_Evening,0.15946451057591257,0.15946451057591257
numerical__Ambient_Temperature,-0.12238285414293379,0.12238285414293379
categorical__Day_of_Week_Saturday,-0.1163567520527528,0.1163567520527528
numerical__Maintenance_Hours,-0.07134072004679441,0.07134072004679441
categorical__Day_of_Week_Tuesday,0.06491338265950716,0.06491338265950716
categorical__Material_Grade_Standard,0.06309958069388848,0.06309958069388848
categorical__Day_of_Week_Monday,-0.051002951514571196,0.051002951514571196
